vm_sku_key,vm_sku_name,logical_cores,memory_gb
95,Standard_D16ps_v6,16,64
96,Standard_D16s_v3,16,64
97,Standard_D16s_v4,16,64
98,Standard_D16s_v5,16,64
99,Standard_D16s_v6,16,64
100,Standard_D192ds_v6,192,768
101,Standard_D192s_v6,192,768
102,Standard_D2,2,7
103,Standard_D2_v2,2,7
104,Standard_D2_v2_Promo,2,7
105,Standard_D2_v3,2,8
106,Standard_D2_v4,2,8
107,Standard_D2_v5,2,8
108,Standard_D2a_v4,2,8
109,Standard_D2ads_v5,2,8
110,Standard_D2ads_v6,2,8
111,Standard_D2alds_v6,2,4
112,Standard_D2als_v6,2,4
113,Standard_D2as_v4,2,8
114,Standard_D2as_v5,2,8
115,Standard_D2as_v6,2,8
116,Standard_D2d_v4,2,8
117,Standard_D2d_v5,2,8
118,Standard_D2ds_v4,2,8
119,Standard_D2ds_v5,2,8
120,Standard_D2ds_v6,2,8
121,Standard_D2lds_v5,2,4
122,Standard_D2lds_v6,2,4
123,Standard_D2ls_v5,2,4
124,Standard_D2ls_v6,2,4
125,Standard_D2pds_v5,2,8
126,Standard_D2pds_v6,2,8
127,Standard_D2plds_v5,2,4
128,Standard_D2plds_v6,2,4
129,Standard_D2pls_v5,2,4
130,Standard_D2pls_v6,2,4
131,Standard_D2ps_v5,2,8
132,Standard_D2ps_v6,2,8
133,Standard_D2s_v3,2,8
134,Standard_D2s_v4,2,8
135,Standard_D2s_v5,2,8
136,Standard_D2s_v6,2,8
137,Standard_D3,4,14
138,Standard_D3_v2,4,14
139,Standard_D3_v2_Promo,4,14
140,Standard_D32_v3,32,128
141,Standard_D32_v4,32,128
142,Standard_D32_v5,32,128
143,Standard_D32a_v4,32,128
144,Standard_D32ads_v5,32,128
145,Standard_D32ads_v6,32,128
146,Standard_D32alds_v6,32,64
147,Standard_D32als_v6,32,64
148,Standard_D32as_v4,32,128
149,Standard_D32as_v5,32,128
150,Standard_D32as_v6,32,128
151,Standard_D32d_v4,32,128
152,Standard_D32d_v5,32,128
153,Standard_D32ds_v4,32,128
154,Standard_D32ds_v5,32,128
155,Standard_D32ds_v6,32,128
156,Standard_D32lds_v5,32,64
157,Standard_D32lds_v6,32,64
158,Standard_D32ls_v5,32,64
159,Standard_D32ls_v6,32,64
160,Standard_D32pds_v5,32,128
161,Standard_D32pds_v6,32,128
162,Standard_D32plds_v5,32,64
163,Standard_D32plds_v6,32,64
164,Standard_D32pls_v5,32,64
165,Standard_D32pls_v6,32,64
166,Standard_D32ps_v5,32,128
167,Standard_D32ps_v6,32,128
168,Standard_D32s_v3,32,128
169,Standard_D32s_v4,32,128
170,Standard_D32s_v5,32,128
171,Standard_D32s_v6,32,128
172,Standard_D4,8,28
173,Standard_D4_v2,8,28
174,Standard_D4_v2_Promo,8,28
175,Standard_D4_v3,4,16
176,Standard_D4_v4,4,16
177,Standard_D4_v5,4,16
178,Standard_D48_v3,48,192
179,Standard_D48_v4,48,192
180,Standard_D48_v5,48,192
181,Standard_D48a_v4,48,192
182,Standard_D48ads_v5,48,192
183,Standard_D48ads_v6,48,192
184,Standard_D48alds_v6,48,96
185,Standard_D48als_v6,48,96
186,Standard_D48as_v4,48,192
187,Standard_D48as_v5,48,192
188,Standard_D48as_v6,48,192
189,Standard_D48d_v4,48,192
190,Standard_D48d_v5,48,192
191,Standard_D48ds_v4,48,192
192,Standard_D48ds_v5,48,192
193,Standard_D48ds_v6,48,192
194,Standard_D48lds_v5,48,96
195,Standard_D48lds_v6,48,96
196,Standard_D48ls_v5,48,96
197,Standard_D48ls_v6,48,96
198,Standard_D48pds_v5,48,192
199,Standard_D48pds_v6,48,192
200,Standard_D48plds_v5,48,96
201,Standard_D48plds_v6,48,96
202,Standard_D48pls_v5,48,96
203,Standard_D48pls_v6,48,96
204,Standard_D48ps_v5,48,192
205,Standard_D48ps_v6,48,192
206,Standard_D48s_v3,48,192
207,Standard_D48s_v4,48,192
208,Standard_D48s_v5,48,192
209,Standard_D48s_v6,48,192
210,Standard_D4a_v4,4,16
211,Standard_D4ads_v5,4,16
212,Standard_D4ads_v6,4,16
213,Standard_D4alds_v6,4,8
214,Standard_D4als_v6,4,8
215,Standard_D4as_v4,4,16
216,Standard_D4as_v5,4,16
217,Standard_D4as_v6,4,16
218,Standard_D4d_v4,4,16
219,Standard_D4d_v5,4,16
220,Standard_D4ds_v4,4,16
221,Standard_D4ds_v5,4,16
222,Standard_D4ds_v6,4,16
223,Standard_D4lds_v5,4,8
224,Standard_D4lds_v6,4,8
225,Standard_D4ls_v5,4,8
226,Standard_D4ls_v6,4,8
227,Standard_D4pds_v5,4,16
228,Standard_D4pds_v6,4,16
229,Standard_D4plds_v5,4,8
230,Standard_D4plds_v6,4,8
231,Standard_D4pls_v5,4,8
232,Standard_D4pls_v6,4,8
233,Standard_D4ps_v5,4,16
234,Standard_D4ps_v6,4,16
235,Standard_D4s_v3,4,16
236,Standard_D4s_v4,4,16
237,Standard_D4s_v5,4,16
238,Standard_D4s_v6,4,16
239,Standard_D5_v2,16,56
240,Standard_D5_v2_Promo,16,56
241,Standard_D64_v3,64,256
242,Standard_D64_v4,64,256
243,Standard_D64_v5,64,256
244,Standard_D64a_v4,64,256
245,Standard_D64ads_v5,64,256
246,Standard_D64ads_v6,64,256
247,Standard_D64alds_v6,64,128
248,Standard_D64als_v6,64,128
249,Standard_D64as_v4,64,256
250,Standard_D64as_v5,64,256
251,Standard_D64as_v6,64,256
252,Standard_D64d_v4,64,256
253,Standard_D64d_v5,64,256
254,Standard_D64ds_v4,64,256
255,Standard_D64ds_v5,64,256
256,Standard_D64ds_v6,64,256
257,Standard_D64lds_v5,64,128
258,Standard_D64lds_v6,64,128
259,Standard_D64ls_v5,64,128
260,Standard_D64ls_v6,64,128
261,Standard_D64pds_v5,64,208
262,Standard_D64pds_v6,64,256
263,Standard_D64plds_v5,64,128
264,Standard_D64plds_v6,64,128
265,Standard_D64pls_v5,64,128
266,Standard_D64pls_v6,64,128
267,Standard_D64ps_v5,64,208
268,Standard_D64ps_v6,64,256
269,Standard_D64s_v3,64,256
270,Standard_D64s_v4,64,256
271,Standard_D64s_v5,64,256
272,Standard_D64s_v6,64,256
273,Standard_D8_v3,8,32
274,Standard_D8_v4,8,32
275,Standard_D8_v5,8,32
276,Standard_D8a_v4,8,32
277,Standard_D8ads_v5,8,32
278,Standard_D8ads_v6,8,32
279,Standard_D8alds_v6,8,16
280,Standard_D8als_v6,8,16
281,Standard_D8as_v4,8,32
282,Standard_D8as_v5,8,32
283,Standard_D8as_v6,8,32
284,Standard_D8d_v4,8,32
285,Standard_D8d_v5,8,32
286,Standard_D8ds_v4,8,32
287,Standard_D8ds_v5,8,32
288,Standard_D8ds_v6,8,32
289,Standard_D8lds_v5,8,16
290,Standard_D8lds_v6,8,16
291,Standard_D8ls_v5,8,16
292,Standard_D8ls_v6,8,16
293,Standard_D8pds_v5,8,32
294,Standard_D8pds_v6,8,32
295,Standard_D8plds_v5,8,16
296,Standard_D8plds_v6,8,16
297,Standard_D8pls_v5,8,16
298,Standard_D8pls_v6,8,16
299,Standard_D8ps_v5,8,32
300,Standard_D8ps_v6,8,32
301,Standard_D8s_v3,8,32
302,Standard_D8s_v4,8,32
303,Standard_D8s_v5,8,32
304,Standard_D8s_v6,8,32
305,Standard_D96_v5,96,384
306,Standard_D96a_v4,96,384
307,Standard_D96ads_v5,96,384
308,Standard_D96ads_v6,96,384
309,Standard_D96alds_v6,96,192
310,Standard_D96als_v6,96,192
311,Standard_D96as_v4,96,384
312,Standard_D96as_v5,96,384
313,Standard_D96as_v6,96,384
314,Standard_D96d_v5,96,384
315,Standard_D96ds_v5,96,384
316,Standard_D96ds_v6,96,384
317,Standard_D96lds_v5,96,192
318,Standard_D96lds_v6,96,192
319,Standard_D96ls_v5,96,192
320,Standard_D96ls_v6,96,192
321,Standard_D96pds_v6,96,384
322,Standard_D96plds_v6,96,192
323,Standard_D96pls_v6,96,192
324,Standard_D96ps_v6,96,384
325,Standard_D96s_v5,96,384
326,Standard_D96s_v6,96,384
327,Standard_DC16ads_cc_v5,16,64
328,Standard_DC16ads_v5,16,64
329,Standard_DC16as_cc_v5,16,64
330,Standard_DC16as_v5,16,64
331,Standard_DC16ds_v3,16,128
332,Standard_DC16s_v3,16,128
333,Standard_DC1ds_v3,1,8
334,Standard_DC1s_v2,1,4
335,Standard_DC1s_v3,1,8
336,Standard_DC24ds_v3,24,192
337,Standard_DC24s_v3,24,192
338,Standard_DC2ads_v5,2,8
339,Standard_DC2as_v5,2,8
340,Standard_DC2ds_v3,2,16
341,Standard_DC2s_v2,2,8
342,Standard_DC2s_v3,2,16
343,Standard_DC32ads_cc_v5,32,128
344,Standard_DC32ads_v5,32,128
345,Standard_DC32as_cc_v5,32,128
346,Standard_DC32as_v5,32,128
347,Standard_DC32ds_v3,32,256
348,Standard_DC32s_v3,32,256
349,Standard_DC48ads_cc_v5,48,192
350,Standard_DC48ads_v5,48,192
351,Standard_DC48as_cc_v5,48,192
352,Standard_DC48as_v5,48,192
353,Standard_DC48ds_v3,48,384
354,Standard_DC48s_v3,48,384
355,Standard_DC4ads_cc_v5,4,16
356,Standard_DC4ads_v5,4,16
357,Standard_DC4as_cc_v5,4,16
358,Standard_DC4as_v5,4,16
359,Standard_DC4ds_v3,4,32
360,Standard_DC4s_v2,4,16
361,Standard_DC4s_v3,4,32
362,Standard_DC64ads_cc_v5,64,256
363,Standard_DC64ads_v5,64,256
364,Standard_DC64as_cc_v5,64,256
365,Standard_DC64as_v5,64,256
366,Standard_DC8_v2,8,32
367,Standard_DC8ads_cc_v5,8,32
368,Standard_DC8ads_v5,8,32
369,Standard_DC8as_cc_v5,8,32
370,Standard_DC8as_v5,8,32
371,Standard_DC8ds_v3,8,64
372,Standard_DC8s_v3,8,64
373,Standard_DC96ads_cc_v5,96,384
374,Standard_DC96ads_v5,96,384
375,Standard_DC96as_cc_v5,96,384
376,Standard_DC96as_v5,96,384
377,Standard_DS1,1,3.5
378,Standard_DS1_v2,1,3.5
379,Standard_DS11,2,14
380,Standard_DS11_v2,2,14
381,Standard_DS11_v2_Promo,2,14
382,Standard_DS11-1_v2,2,14
383,Standard_DS12,4,28
384,Standard_DS12_v2,4,28
385,Standard_DS12_v2_Promo,4,28
386,Standard_DS12-1_v2,4,28
387,Standard_DS12-2_v2,4,28
388,Standard_DS13,8,56
389,Standard_DS13_v2,8,56
390,Standard_DS13_v2_Promo,8,56
391,Standard_DS13-2_v2,8,56
392,Standard_DS13-4_v2,8,56
393,Standard_DS14,16,112
394,Standard_DS14_v2,16,112
395,Standard_DS14_v2_Promo,16,112
396,Standard_DS14-4_v2,16,112
397,Standard_DS14-8_v2,16,112
398,Standard_DS15_v2,20,140
399,Standard_DS2,2,7
400,Standard_DS2_v2,2,7
401,Standard_DS2_v2_Promo,2,7
402,Standard_DS3,4,14
403,Standard_DS3_v2,4,14
404,Standard_DS3_v2_Promo,4,14
405,Standard_DS4,8,28
406,Standard_DS4_v2,8,28
407,Standard_DS4_v2_Promo,8,28
408,Standard_DS5_v2,16,56
409,Standard_DS5_v2_Promo,16,56
410,Standard_E104i_v5,104,672
411,Standard_E104id_v5,104,672
412,Standard_E104ids_v5,104,672
413,Standard_E104is_v5,104,672
414,Standard_E112iads_v5,112,672
415,Standard_E112ias_v5,112,672
416,Standard_E112ibds_v5,112,672
417,Standard_E112ibs_v5,112,672
418,Standard_E128-32ds_v6,128,1024
419,Standard_E128-32s_v6,128,1024
420,Standard_E128-64ds_v6,128,1024
421,Standard_E128-64s_v6,128,1024
422,Standard_E128ds_v6,128,1024
423,Standard_E128s_v6,128,1024
424,Standard_E16_v3,16,128
425,Standard_E16_v4,16,128
426,Standard_E16_v5,16,128
427,Standard_E16-4ads_v5,16,128
428,Standard_E16-4as_v4,16,128
429,Standard_E16-4as_v5,16,128
430,Standard_E16-4ds_v4,16,128
431,Standard_E16-4ds_v5,16,128
432,Standard_E16-4ds_v6,16,128
433,Standard_E16-4s_v3,16,128
434,Standard_E16-4s_v4,16,128
435,Standard_E16-4s_v5,16,128
436,Standard_E16-4s_v6,16,128
437,Standard_E16-8ads_v5,16,128
438,Standard_E16-8as_v4,16,128
439,Standard_E16-8as_v5,16,128
440,Standard_E16-8ds_v4,16,128
441,Standard_E16-8ds_v5,16,128
442,Standard_E16-8ds_v6,16,128
443,Standard_E16-8s_v3,16,128
444,Standard_E16-8s_v4,16,128
445,Standard_E16-8s_v5,16,128
446,Standard_E16-8s_v6,16,128
447,Standard_E16a_v4,16,128
448,Standard_E16ads_v5,16,128
449,Standard_E16ads_v6,16,128
450,Standard_E16as_v4,16,128
451,Standard_E16as_v5,16,128
452,Standard_E16as_v6,16,128
453,Standard_E16bds_v5,16,128
454,Standard_E16bs_v5,16,128
455,Standard_E16d_v4,16,128
456,Standard_E16d_v5,16,128
457,Standard_E16ds_v4,16,128
458,Standard_E16ds_v5,16,128
459,Standard_E16ds_v6,16,128
460,Standard_E16pds_v5,16,128
461,Standard_E16pds_v6,16,128
462,Standard_E16ps_v5,16,128
463,Standard_E16ps_v6,16,128
464,Standard_E16s_v3,16,128
465,Standard_E16s_v4,16,128
466,Standard_E16s_v5,16,128
467,Standard_E16s_v6,16,128
468,Standard_E192ids_v6,192,1832
469,Standard_E192is_v6,192,1832
470,Standard_E2_v3,2,16
471,Standard_E2_v4,2,16
472,Standard_E2_v5,2,16
473,Standard_E20_v3,20,160
474,Standard_E20_v4,20,160
475,Standard_E20_v5,20,160
476,Standard_E20a_v4,20,160
477,Standard_E20ads_v5,20,160
478,Standard_E20ads_v6,20,160
479,Standard_E20as_v4,20,160
480,Standard_E20as_v5,20,160
481,Standard_E20as_v6,20,160
482,Standard_E20d_v4,20,160
483,Standard_E20d_v5,20,160
484,Standard_E20ds_v4,20,160
485,Standard_E20ds_v5,20,160
486,Standard_E20ds_v6,20,160
487,Standard_E20pds_v5,20,160
488,Standard_E20ps_v5,20,160
489,Standard_E20s_v3,20,160
490,Standard_E20s_v4,20,160
491,Standard_E20s_v5,20,160
492,Standard_E20s_v6,20,160
493,Standard_E2a_v4,2,16
494,Standard_E2ads_v5,2,16
495,Standard_E2ads_v6,2,16
496,Standard_E2as_v4,2,16
497,Standard_E2as_v5,2,16
498,Standard_E2as_v6,2,16
499,Standard_E2bds_v5,2,16
500,Standard_E2bs_v5,2,16
501,Standard_E2d_v4,2,16
502,Standard_E2d_v5,2,16
503,Standard_E2ds_v4,2,16
504,Standard_E2ds_v5,2,16
505,Standard_E2ds_v6,2,16
506,Standard_E2pds_v5,2,16
507,Standard_E2pds_v6,2,16
508,Standard_E2ps_v5,2,16
509,Standard_E2ps_v6,2,16
510,Standard_E2s_v3,2,16
511,Standard_E2s_v4,2,16
512,Standard_E2s_v5,2,16
513,Standard_E2s_v6,2,16
514,Standard_E32_v3,32,256
515,Standard_E32_v4,32,256
516,Standard_E32_v5,32,256
517,Standard_E32-16ads_v5,32,256
518,Standard_E32-16as_v4,32,256
519,Standard_E32-16as_v5,32,256
520,Standard_E32-16ds_v4,32,256
521,Standard_E32-16ds_v5,32,256
522,Standard_E32-16ds_v6,32,256
523,Standard_E32-16s_v3,32,256
524,Standard_E32-16s_v4,32,256
525,Standard_E32-16s_v5,32,256
526,Standard_E32-16s_v6,32,256
527,Standard_E32-8ads_v5,32,256
528,Standard_E32-8as_v4,32,256
529,Standard_E32-8as_v5,32,256
530,Standard_E32-8ds_v4,32,256
531,Standard_E32-8ds_v5,32,256
532,Standard_E32-8ds_v6,32,256
533,Standard_E32-8s_v3,32,256
534,Standard_E32-8s_v4,32,256
535,Standard_E32-8s_v5,32,256
536,Standard_E32-8s_v6,32,256
537,Standard_E32a_v4,32,256
538,Standard_E32ads_v5,32,256
539,Standard_E32ads_v6,32,256
540,Standard_E32as_v4,32,256
541,Standard_E32as_v5,32,256
542,Standard_E32as_v6,32,256
543,Standard_E32bds_v5,32,256
544,Standard_E32bs_v5,32,256
545,Standard_E32d_v4,32,256
546,Standard_E32d_v5,32,256
547,Standard_E32ds_v4,32,256
548,Standard_E32ds_v5,32,256
549,Standard_E32ds_v6,32,256
550,Standard_E32pds_v5,32,208
551,Standard_E32pds_v6,32,256
552,Standard_E32ps_v5,32,208
553,Standard_E32ps_v6,32,256
554,Standard_E32s_v3,32,256
555,Standard_E32s_v4,32,256
556,Standard_E32s_v5,32,256
557,Standard_E32s_v6,32,256
558,Standard_E4_v3,4,32
559,Standard_E4_v4,4,32
560,Standard_E4_v5,4,32
561,Standard_E4-2ads_v5,4,32
562,Standard_E4-2as_v4,4,32
563,Standard_E4-2as_v5,4,32
564,Standard_E4-2ds_v4,4,32
565,Standard_E4-2ds_v5,4,32
566,Standard_E4-2ds_v6,4,32
567,Standard_E4-2s_v3,4,32
568,Standard_E4-2s_v4,4,32
569,Standard_E4-2s_v5,4,32
570,Standard_E4-2s_v6,4,32
571,Standard_E48_v3,48,384
572,Standard_E48_v4,48,384
573,Standard_E48_v5,48,384
574,Standard_E48a_v4,48,384
575,Standard_E48ads_v5,48,384
576,Standard_E48ads_v6,48,384
577,Standard_E48as_v4,48,384
578,Standard_E48as_v5,48,384
579,Standard_E48as_v6,48,384
580,Standard_E48bds_v5,48,384
581,Standard_E48bs_v5,48,384
582,Standard_E48d_v4,48,384
583,Standard_E48d_v5,48,384
584,Standard_E48ds_v4,48,384
585,Standard_E48ds_v5,48,384
586,Standard_E48ds_v6,48,384
587,Standard_E48pds_v6,48,384
588,Standard_E48ps_v6,48,384
589,Standard_E48s_v3,48,384
590,Standard_E48s_v4,48,384
591,Standard_E48s_v5,48,384
592,Standard_E48s_v6,48,384
593,Standard_E4a_v4,4,32
594,Standard_E4ads_v5,4,32
595,Standard_E4ads_v6,4,32
596,Standard_E4as_v4,4,32
597,Standard_E4as_v5,4,32
598,Standard_E4as_v6,4,32
599,Standard_E4bds_v5,4,32
600,Standard_E4bs_v5,4,32
601,Standard_E4d_v4,4,32
602,Standard_E4d_v5,4,32
603,Standard_E4ds_v4,4,32
604,Standard_E4ds_v5,4,32
605,Standard_E4ds_v6,4,32
606,Standard_E4pds_v5,4,32
607,Standard_E4pds_v6,4,32
608,Standard_E4ps_v5,4,32
609,Standard_E4ps_v6,4,32
610,Standard_E4s_v3,4,32
611,Standard_E4s_v4,4,32
612,Standard_E4s_v5,4,32
613,Standard_E4s_v6,4,32
614,Standard_E64_v3,64,432
615,Standard_E64_v4,64,504
616,Standard_E64_v5,64,512
617,Standard_E64-16ads_v5,64,512
618,Standard_E64-16as_v4,64,512
619,Standard_E64-16as_v5,64,512
620,Standard_E64-16ds_v4,64,504
621,Standard_E64-16ds_v5,64,512
622,Standard_E64-16ds_v6,64,512
623,Standard_E64-16s_v3,64,432
624,Standard_E64-16s_v4,64,504
625,Standard_E64-16s_v5,64,512
626,Standard_E64-16s_v6,64,512
627,Standard_E64-32ads_v5,64,512
628,Standard_E64-32as_v4,64,512
629,Standard_E64-32as_v5,64,512
630,Standard_E64-32ds_v4,64,504
631,Standard_E64-32ds_v5,64,512
632,Standard_E64-32ds_v6,64,512
633,Standard_E64-32s_v3,64,432
634,Standard_E64-32s_v4,64,504
635,Standard_E64-32s_v5,64,512
636,Standard_E64-32s_v6,64,512
637,Standard_E64a_v4,64,512
638,Standard_E64ads_v5,64,512
639,Standard_E64ads_v6,64,512
640,Standard_E64as_v4,64,512
641,Standard_E64as_v5,64,512
642,Standard_E64as_v6,64,512
643,Standard_E64bds_v5,64,512
644,Standard_E64bs_v5,64,512
645,Standard_E64d_v4,64,504
646,Standard_E64d_v5,64,512
647,Standard_E64ds_v4,64,504
648,Standard_E64ds_v5,64,512
649,Standard_E64ds_v6,64,512
650,Standard_E64i_v3,64,432
651,Standard_E64is_v3,64,432
652,Standard_E64pds_v6,64,512
653,Standard_E64ps_v6,64,512
654,Standard_E64s_v3,64,432
655,Standard_E64s_v4,64,504
656,Standard_E64s_v5,64,512
657,Standard_E64s_v6,64,512
658,Standard_E8_v3,8,64
659,Standard_E8_v4,8,64
660,Standard_E8_v5,8,64
661,Standard_E80ids_v4,80,504
662,Standard_E80is_v4,80,504
663,Standard_E8-2ads_v5,8,64
664,Standard_E8-2as_v4,8,64
665,Standard_E8-2as_v5,8,64
666,Standard_E8-2ds_v4,8,64
667,Standard_E8-2ds_v5,8,64
668,Standard_E8-2ds_v6,8,64
669,Standard_E8-2s_v3,8,64
670,Standard_E8-2s_v4,8,64
671,Standard_E8-2s_v5,8,64
672,Standard_E8-2s_v6,8,64
673,Standard_E8-4ads_v5,8,64
674,Standard_E8-4as_v4,8,64
675,Standard_E8-4as_v5,8,64
676,Standard_E8-4ds_v4,8,64
677,Standard_E8-4ds_v5,8,64
678,Standard_E8-4ds_v6,8,64
679,Standard_E8-4s_v3,8,64
680,Standard_E8-4s_v4,8,64
681,Standard_E8-4s_v5,8,64
682,Standard_E8-4s_v6,8,64
683,Standard_E8a_v4,8,64
684,Standard_E8ads_v5,8,64
685,Standard_E8ads_v6,8,64
686,Standard_E8as_v4,8,64
687,Standard_E8as_v5,8,64
688,Standard_E8as_v6,8,64
689,Standard_E8bds_v5,8,64
690,Standard_E8bs_v5,8,64
691,Standard_E8d_v4,8,64
692,Standard_E8d_v5,8,64
693,Standard_E8ds_v4,8,64
694,Standard_E8ds_v5,8,64
695,Standard_E8ds_v6,8,64
696,Standard_E8pds_v5,8,64
697,Standard_E8pds_v6,8,64
698,Standard_E8ps_v5,8,64
699,Standard_E8ps_v6,8,64
700,Standard_E8s_v3,8,64
701,Standard_E8s_v4,8,64
702,Standard_E8s_v5,8,64
703,Standard_E8s_v6,8,64
704,Standard_E96_v5,96,672
705,Standard_E96-24ads_v5,96,672
706,Standard_E96-24ads_v6,96,672
707,Standard_E96-24as_v4,96,672
708,Standard_E96-24as_v5,96,672
709,Standard_E96-24ds_v5,96,672
710,Standard_E96-24ds_v6,96,768
711,Standard_E96-24s_v5,96,672
712,Standard_E96-24s_v6,96,768
713,Standard_E96-48ads_v5,96,672
714,Standard_E96-48ads_v6,96,672
715,Standard_E96-48as_v4,96,672
716,Standard_E96-48as_v5,96,672
717,Standard_E96-48ds_v5,96,672
718,Standard_E96-48ds_v6,96,768
719,Standard_E96-48s_v5,96,672
720,Standard_E96-48s_v6,96,768
721,Standard_E96a_v4,96,672
722,Standard_E96ads_v5,96,672
723,Standard_E96ads_v6,96,672
724,Standard_E96as_v4,96,672
725,Standard_E96as_v5,96,672
726,Standard_E96as_v6,96,672
727,Standard_E96bds_v5,96,672
728,Standard_E96bs_v5,96,672
729,Standard_E96d_v5,96,672
730,Standard_E96ds_v5,96,672
731,Standard_E96ds_v6,96,768
732,Standard_E96ias_v4,96,672
733,Standard_E96pds_v6,96,672
734,Standard_E96ps_v6,96,672
735,Standard_E96s_v5,96,672
736,Standard_E96s_v6,96,768
737,Standard_EC16ads_cc_v5,16,128
738,Standard_EC16ads_v5,16,128
739,Standard_EC16as_cc_v5,16,128
740,Standard_EC16as_v5,16,128
741,Standard_EC20ads_cc_v5,20,160
742,Standard_EC20ads_v5,20,160
743,Standard_EC20as_cc_v5,20,160
744,Standard_EC20as_v5,20,160
745,Standard_EC2ads_v5,2,16
746,Standard_EC2as_v5,2,16
747,Standard_EC32ads_cc_v5,32,192
748,Standard_EC32ads_v5,32,192
749,Standard_EC32as_cc_v5,32,192
750,Standard_EC32as_v5,32,192
751,Standard_EC48ads_cc_v5,48,384
752,Standard_EC48ads_v5,48,384
753,Standard_EC48as_cc_v5,48,384
754,Standard_EC48as_v5,48,384
755,Standard_EC4ads_cc_v5,4,32
756,Standard_EC4ads_v5,4,32
757,Standard_EC4as_cc_v5,4,32
758,Standard_EC4as_v5,4,32
759,Standard_EC64ads_cc_v5,64,512
760,Standard_EC64ads_v5,64,512
761,Standard_EC64as_cc_v5,64,512
762,Standard_EC64as_v5,64,512
763,Standard_EC8ads_cc_v5,8,64
764,Standard_EC8ads_v5,8,64
765,Standard_EC8as_cc_v5,8,64
766,Standard_EC8as_v5,8,64
767,Standard_EC96ads_cc_v5,96,672
768,Standard_EC96ads_v5,96,672
769,Standard_EC96as_cc_v5,96,672
770,Standard_EC96as_v5,96,672
771,Standard_EC96iads_v5,96,672
772,Standard_EC96ias_v5,96,672
773,Standard_F1,1,2
774,Standard_F16,16,32
775,Standard_F16als_v6,16,32
776,Standard_F16ams_v6,16,128
777,Standard_F16as_v6,16,64
778,Standard_F16s,16,32
779,Standard_F16s_v2,16,32
780,Standard_F1s,1,2
